
## Resnet, clean = 0.88
{'gaussian_noise': {1: 0.72055566,
  2: 0.57129705,
  3: 0.41699418,
  4: 0.35500437,
  5: 0.30824298},
 'speckle_noise': {1: 0.7930066,
  2: 0.65925944,
  3: 0.58779496,
  4: 0.4652503,
  5: 0.3694854},
 'impulse_noise': {1: 0.64765424,
  2: 0.45254502,
  3: 0.36398277,
  4: 0.2950833,
  5: 0.26612923},
 'shot_noise': {1: 0.79162747,
  2: 0.69628704,
  3: 0.50337017,
  4: 0.43933955,
  5: 0.3334443}}


  ##CLIP - vitb16, clean: 0.948

{'gaussian_noise': {1: 0.8287767,
  2: 0.68462014,
  3: 0.52642095,
  4: 0.45319477,
  5: 0.39358658},
 'speckle_noise': {1: 0.8855748,
  2: 0.7826431,
  3: 0.71402866,
  4: 0.575851,
  5: 0.4634108},
 'impulse_noise': {1: 0.92388994,
  2: 0.8797334,
  3: 0.8381437,
  4: 0.7255361,
  5: 0.60639346},
 'shot_noise': {1: 0.881543,
  2: 0.8156689,
  3: 0.6336296,
  4: 0.5540637,
  5: 0.42462334}}

  ##CLIP - Resnet, clean: 0.89

'gaussian_noise': {1: 0.66822386,
  2: 0.46558714,
  3: 0.28862005,
  4: 0.23345824,
  5: 0.18863998},
 'speckle_noise': {1: 0.7678073,
  2: 0.61615515,
  3: 0.52337176,
  4: 0.36995178,
  5: 0.25821707},
 'impulse_noise': {1: 0.77613604,
  2: 0.6875359,
  3: 0.59512913,
  4: 0.43106666,
  5: 0.30344787},
 'shot_noise': {1: 0.76686865,
  2: 0.6564692,
  3: 0.41788703,
  4: 0.3300522,
  5: 0.22840402}

## DINO V1, clean: 0.955
 {'gaussian_noise': {1: 0.73811185,
  2: 0.5256258,
  3: 0.3595384,
  4: 0.2969647,
  5: 0.25609854},
 'speckle_noise': {1: 0.82182914,
  2: 0.6371293,
  3: 0.5495516,
  4: 0.39626914,
  5: 0.29803294},
 'impulse_noise': {1: 0.8388193,
  2: 0.72830236,
  3: 0.60020727,
  4: 0.4025271,
  5: 0.28812978},
 'shot_noise': {1: 0.8187281,
  2: 0.7007035,
  3: 0.44766623,
  4: 0.3658263,
  5: 0.26989597}}


## BLIP, clean: 0.9548888

{'gaussian_noise': {1: 0.79129463,
  2: 0.6651447,
  3: 0.55487686,
  4: 0.511085,
  5: 0.4719368},
 'speckle_noise': {1: 0.86540776,
  2: 0.76840127,
  3: 0.7130361,
  4: 0.6126495,
  5: 0.5202407},
 'impulse_noise': {1: 0.89646643,
  2: 0.8471839,
  3: 0.7957111,
  4: 0.66731507,
  5: 0.55657285},
 'shot_noise': {1: 0.85370696,
  2: 0.7868563,
  3: 0.6453165,
  4: 0.5878428,
  5: 0.4998784}}


## ImageBind, clean: 0.986

{'gaussian_noise': {1: 0.9197146,
  2: 0.82722014,
  3: 0.70214444,
  4: 0.6376993,
  5: 0.58301777},
 'speckle_noise': {1: 0.955114,
  2: 0.8844547,
  3: 0.8393275,
  4: 0.7380939,
  5: 0.63478357},
 'impulse_noise': {1: 0.9696628,
  2: 0.94978875,
  3: 0.92277783,
  4: 0.8465541,
  5: 0.757954},
 'shot_noise': {1: 0.95297945,
  2: 0.9128707,
  3: 0.7808095,
  4: 0.7160694,
  5: 0.6023896}}


  ## Test CLIP Large
  {'gaussian_noise': {1: 0.92294323,
  2: 0.8648198,
  3: 0.78123605,
  4: 0.74596417,
  5: 0.6954899},
 'speckle_noise': {1: 0.9514788,
  2: 0.90891266,
  3: 0.88545525,
  4: 0.8206115,
  5: 0.7465661},
 'impulse_noise': {1: 0.96855867,
  2: 0.9528081,
  3: 0.9405712,
  4: 0.89052534,
  5: 0.83404815},
 'shot_noise': {1: 0.9478057,
  2: 0.92584103,
  3: 0.8406569,
  4: 0.7995256,
  5: 0.73307556}}
